CMDLINE /usr/local/bin/python3 JuliaSetTiming.py
MEM 0.351562 1706638606.7754
MEM 15.183594 1706638606.8761
MEM 23.988281 1706638606.9764
MEM 33.886719 1706638607.0791
MEM 42.679688 1706638607.1794
MEM 47.691406 1706638607.2827
