CMDLINE /usr/local/bin/python3 JuliaSet.py
MEM 0.351562 1706637952.7409
MEM 15.109375 1706637952.8423
MEM 23.843750 1706637952.9437
MEM 32.550781 1706637953.0446
MEM 39.476562 1706637953.1469
