CMDLINE /usr/local/bin/python3 JuliaSetTiming.py
MEM 0.351562 1706638591.6638
MEM 15.214844 1706638591.7689
MEM 24.203125 1706638591.8717
MEM 34.093750 1706638591.9745
MEM 43.269531 1706638592.0776
MEM 47.390625 1706638592.1817
