CMDLINE /usr/local/bin/python3 JuliaSetTiming.py
MEM 0.351562 1706698818.9656
MEM 16.140625 1706698819.0746
MEM 24.769531 1706698819.1840
MEM 35.292969 1706698819.2902
MEM 42.445312 1706698819.3957
MEM 60.796875 1706698819.5031
MEM 96.691406 1706698819.6102
MEM 120.933594 1706698819.7172
MEM 140.519531 1706698819.8260
MEM 144.160156 1706698819.9294
MEM 145.230469 1706698820.0301
MEM 145.949219 1706698820.1329
MEM 146.488281 1706698820.2342
MEM 147.074219 1706698820.3379
MEM 147.683594 1706698820.4466
MEM 148.253906 1706698820.5509
MEM 148.996094 1706698820.6536
MEM 150.261719 1706698820.7616
MEM 153.769531 1706698820.8661
