CMDLINE /usr/local/bin/python3 JuliaSetTiming.py
MEM 0.351562 1706639284.7982
MEM 16.031250 1706639284.9023
MEM 23.953125 1706639285.0057
MEM 33.335938 1706639285.1085
MEM 41.609375 1706639285.2117
MEM 47.824219 1706639285.3141
